,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
5640,6372108,55,1.6495873726333332,1.7101756443333334,1.6600491173666667,1.5939788471666667,1.8095492944666667,1.7299242473666667,1.8393494837666666,2.0414130805666666
5641,6373237,55,1.6495270370000001,1.7101063407,1.6600054444666668,1.5939205466666666,1.8094835483999998,1.7298715316999997,1.8393033062666666,2.0413661281
5642,6374406,55,1.6494866358,1.7100541928333333,1.6599796052666667,1.5938784892666669,1.8094166038,1.7298166209333337,1.8392411859333333,2.0413055262666666
5643,6375535,55,1.6494462765333333,1.7100040827333336,1.6599541502666666,1.5938391410000001,1.8093607174333333,1.7297750395666667,1.8391906181666664,2.0412530466666667
5644,6376664,55,1.6493999246,1.7099459501,1.6599159782333333,1.5937908864,1.8093199543000003,1.729746027,1.8391512765,2.0412038085999997
5645,6377793,55,1.6493594840333334,1.709896514,1.6598852741,1.5937504838666667,1.8092991203000002,1.7297398979666665,1.8391284493666664,2.0411565138666665
5646,6378922,55,1.6493179669,1.7098426431,1.6598471624,1.5937081366666668,1.8092702074,1.7297260060333335,1.8390860969333334,2.0410957219
5647,6380051,55,1.6492706328333335,1.7097798710666665,1.6598046185,1.5936602924666667,1.8092248048666666,1.7296967364666667,1.8390260144000001,2.0410285845333336
5648,6381180,55,1.6492219310666667,1.7097134994999998,1.6597585,1.5936097496333335,1.8091786129333332,1.7296703793000001,1.8389815166666665,2.0409885649
5649,6382309,55,1.6491903549,1.7096679055000001,1.6597372083666666,1.5935801588,1.8091602494333332,1.7296676766999997,1.8389496114000001,2.0409375788333333
5650,6383438,55,1.6491771579666665,1.7096455543666664,1.6597403043333332,1.5935726568333333,1.8091175914666666,1.7296469725666668,1.8388963463,2.0408802722999995
