,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
31408,35481158,15,12.448000930741546,12.895865591339083,12.266307663991817,12.645855740843139,12.752632187896047,12.316749442865264,12.821622136323697,13.248648630420705
31409,35482287,15,12.447033725836182,12.89511219253818,12.265417037876094,12.644913546715353,12.75225833383469,12.31480977075266,12.820950809405792,13.248648383181658
31410,35483416,15,12.447602145016736,12.895958065117654,12.26645650225756,12.645839850267414,12.751471761331544,12.312646508597084,12.819990554407514,13.248648315804736
31411,35484545,15,12.448487901682835,12.89683167686994,12.267567209029117,12.646874704335438,12.750601295017054,12.310582549323948,12.818885188738788,13.248647754520716
31412,35485674,15,12.448509088739797,12.896727463691427,12.267426996339726,12.646793459286629,12.749182086286288,12.307863230108048,12.817368043954433,13.248646878620729
31413,35486803,15,12.448369670643979,12.896572523402488,12.267369285233617,12.646854784695611,12.748112094484753,12.305667794893294,12.816505267547164,13.248647193236696
31414,35487932,15,12.44880544124344,12.897253279260912,12.268258890373,12.64778970488818,12.748467264087083,12.305360840257809,12.817081330976608,13.248647350259183
31415,35489061,15,12.450574933824972,12.899281173142004,12.270894455437062,12.650460921287499,12.748466569959124,12.30471263708984,12.817000547447213,13.248647125859772
31416,35490190,15,12.453208726296797,12.902080059730556,12.274099595585216,12.65380851220054,12.74846737061503,12.304169270523326,12.816890989038518,13.248646968266293
31417,35491319,15,12.455813348890286,12.904638673908194,12.276680149272414,12.65664408483025,12.748464621244075,12.303268253885475,12.816380781331791,13.24864717039706
31418,35492448,15,12.4568557026016,12.905532821624133,12.27725199561043,12.657451243200962,12.748463927116116,12.302438210352452,12.81599458517561,13.248647484442035
31419,35493577,15,12.456678187362009,12.905263462117002,12.276906056188318,12.657270212201858,12.748580599644496,12.30217121556948,12.81607671425912,13.248647349688193
31420,35494739,15,12.45701314219709,12.905517466205398,12.277403763743523,12.657991685872519,12.74833270707706,12.299945562206029,12.814287388749591,13.248646046687037
31421,35495868,15,12.457477645987243,12.905611319073229,12.277396883032479,12.658266382892592,12.747812124678886,12.296924490218965,12.812304082204932,13.24864539518646
31422,35496997,15,12.456252757697195,12.904029517715122,12.275508998190869,12.656583765501994,12.747484235051683,12.294791379672693,12.81149837955058,13.24864573207107
31423,35498126,15,12.454284057631448,12.901744401870692,12.27284021541049,12.65401293054656,12.746974810268508,12.292800614572432,12.810592217570981,13.248644586663394
31424,35499255,15,12.452208915380718,12.899425048771844,12.270244748773786,12.651415983955868,12.745960525119335,12.290535697072126,12.809503546963866,13.248644586663394
31425,35500384,15,12.451133719333612,12.898450105124708,12.26936752171724,12.650486920082413,12.745714020807814,12.289331834395641,12.80928807058437,13.248644608932038
31426,35501513,15,12.451174140340646,12.898781870368781,12.269778151706678,12.650851368796168,12.746816070736072,12.290376122977358,12.810792159404151,13.248646944855668
31427,35502642,15,12.452257117990309,12.900220715489887,12.271440358933626,12.652394175102128,12.748546754290947,12.293196965301474,12.812905516737766,13.248648359771034
31428,35503771,15,12.454112706537632,12.902414890136862,12.273889292870011,12.654840642928455,12.75030952175638,12.295980630635723,12.814499700026449,13.248648607010079
31429,35504900,15,12.455772187226758,12.904069149779735,12.275728980096533,12.65686834885352,12.750822603772885,12.297215142703546,12.814608598731484,13.248648045726057
31430,35506029,15,12.455941281244831,12.904067310994055,12.275549756068521,12.656931689268674,12.751121025191656,12.298044689296809,12.814671975202018,13.248648764603557
