Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
8.650519031,0.0224559,0.71118667,0.03376702,0.00041585,7.36E-06,-1.01E-05,0,0.0092
8.658008658,0.01928384,0.71790744,0.0382352,0.0012468,1.35E-05,-7.28E-06,0,0.0104
8.665511265,0.01586637,0.72088146,0.04386096,0.00116298,1.90E-05,-4.76E-06,0,0.0119
8.673026886,0.01403376,0.72269712,0.05239824,0.0008304,2.62E-05,-4.14E-06,0,0.0138
8.680555556,0.012453,0.72443252,0.0630952,0.00132832,2.69E-05,1.26E-05,0,0.0158
8.688097307,0.01120635,0.72691857,0.074709,0.00199224,2.31E-05,4.09E-05,0,0.0178
8.695652174,0.01037375,0.72773931,0.08738847,0.00141083,2.22E-05,5.05E-05,0,0.0202
8.703220191,0.0091223,0.72348132,0.10399422,0.00024879,1.60E-05,3.66E-05,0,0.0229
8.710801394,0.00795168,0.71449158,0.1283865,0.00066264,1.02E-05,-5.12E-06,0,0.0256
8.718395815,0.00694764,0.69898221,0.1596303,0.0024813,1.13E-05,-2.26E-05,0,0.0282
8.72600349,0.00668898,0.673027,0.19381526,0.00297288,1.24E-05,1.56E-05,0,0.0311
8.733624454,0.00708726,0.63513387,0.23140728,0.00214266,1.04E-05,5.88E-05,0,0.0346
8.741258741,0.00633017,0.5869794,0.27828085,0.00189083,2.67E-05,7.62E-05,0,0.0381
8.748906387,0.005166,0.532426,0.337348,0.001968,6.61E-05,9.91E-05,0,0.0413
8.756567426,0.00441558,0.47320299,0.40443442,0.00171717,8.05E-05,0.00017433,0,0.0447
8.764241893,0.00366615,0.41117909,0.47122248,0.00219969,5.36E-05,0.00021915,0,0.0487
8.771929825,0.00332633,0.35186081,0.53180715,0.00356972,1.59E-05,0.0001378,0,0.053
8.779631255,0.00331198,0.29832054,0.58476642,0.00468524,-3.41E-05,-2.28E-05,0,0.0569
8.787346221,0.0025728,0.2506872,0.6286476,0.0055476,-4.88E-05,-7.32E-05,0,0.061
8.795074758,0.00175956,0.2087478,0.65975502,0.0059985,5.95E-05,-1.32E-05,0,0.0661
8.802816901,0.00182942,0.17276088,0.67521506,0.00620412,0.00017208,-1.43E-05,0,0.0717
8.810572687,0.0022148,0.1434874,0.6767005,0.0072772,0.00014649,-2.31E-05,0,0.0771
8.818342152,0.0023604,0.11990832,0.6715338,0.00841876,0.00010738,-1.65E-05,0,0.0826
8.826125331,0.00203502,0.10002906,0.66584289,0.00931413,0.0001611,0,0,0.0895
8.833922261,0.00186912,0.08309796,0.6615906,0.00996864,0.000195,6.83E-05,0,0.0975
8.84173298,0.00286676,0.06903468,0.65873496,0.01115712,9.50E-05,0.0001688,0,0.1055
8.849557522,0.00323736,0.05834956,0.65487168,0.0138744,-1.14E-05,0.00025036,0,0.1138
8.857395926,0.0023007,0.05000188,0.64841395,0.01756201,-4.95E-05,0.00033399,0,0.1237
8.865248227,0.00106862,0.04182884,0.64262227,0.02099075,-1.35E-05,0.00041943,0,0.1353
8.873114463,0.000304,0.03458,0.638248,0.02508,4.41E-05,0.00036775,0,0.1471
8.880994671,0.0004542,0.0284632,0.6280072,0.0315669,-3.18E-05,0.00011123,0,0.1589
8.888888889,0.00188525,0.02345251,0.60373246,0.03868533,-0.0002583,-5.17E-05,0,0.1722
8.896797153,0.00278055,0.01991475,0.56354985,0.04531545,-0.00039354,5.62E-05,0,0.1874
8.904719501,0.00202365,0.0172385,0.5125081,0.05403895,-0.00026351,0.00046621,0,0.2027
8.912655971,0.00082269,0.01600506,0.45711648,0.06663789,-6.51E-05,0.0008246,0,0.217
8.920606601,0.00037325,0.0147807,0.3990789,0.08323475,6.94E-05,0.00078608,0,0.2312
8.928571429,0.00067095,0.0125244,0.338457,0.10429545,9.86E-05,0.00051744,0,0.2464
8.936550492,0.00134028,0.01049886,0.27989514,0.12941148,0.00018277,0.0005222,0,0.2611
8.944543828,0.0010409,0.00840155,0.22951845,0.1595551,0.00024597,0.00087456,0,0.2733
8.952551477,7.43E-05,0.0066843,0.18961131,0.19696404,0.00017004,0.0007085,0,0.2834
8.960573477,-0.00044532,0.00564072,0.15667842,0.23995326,0.00017592,8.80E-05,0,0.2932
8.968609865,0,0.00489786,0.12749278,0.28786059,0.00024184,-0.00012092,0,0.3023
8.976660682,0.00089064,0.00504696,0.10338846,0.33896274,0.00024736,9.28E-05,0,0.3092
