,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T1Therm(c),T2Therm(c)
34283,38725055,10,0.5141416904666666,0.5082529521333333,0.4824203553333334,0.5755897579,0.42032441690000005,0.5967077891333333,0.48816717156666667,0.49270142893333335,24.942773422233333,25.210811561133333
34284,38726184,10,0.5141419383,0.5082570080000001,0.4824146879000001,0.5755867707666666,0.42034256140000004,0.5967333346,0.4881664791666666,0.4926953169666667,24.9426174761,25.210826151066666
34285,38727313,10,0.5141392042333334,0.5082547722333334,0.48240079989999995,0.5755754411333334,0.4203359301666667,0.5967343823333333,0.4881567689666667,0.4926983605,24.942461532266666,25.2108395083
34286,38728442,10,0.5141266721333333,0.5082466985333333,0.48238571993333335,0.5755646242,0.4203590943,0.5967620993333334,0.48817675976666675,0.49270926789999997,24.9423015327,25.210857181266668
34287,38729571,10,0.5141607174666667,0.5082911529666667,0.48243425910000004,0.5756096766333333,0.42037925033333334,0.5967904366,0.48820665220000004,0.4927297412666667,24.942142747966667,25.21087454553333
34288,38730700,10,0.5142084003666667,0.5083466512,0.4824893561,0.5756645271,0.42043286556666665,0.5968485102333333,0.4882527641333333,0.4927478713333333,24.941987618733332,25.210890367966666
34289,38731829,10,0.5142435222666667,0.5083840089,0.48252688163333335,0.5757038714,0.4204779429,0.5969002791333333,0.48828410820000007,0.4927520884666667,24.941837255233335,25.210909376233335
34290,38732958,10,0.5142458052333333,0.5083781867333333,0.482517873,0.5756983940666667,0.42050538319999997,0.5969375109333334,0.4883108981000001,0.49276253429999994,24.941679180866668,25.2109281788
34291,38734087,10,0.5142113612666667,0.5083314349,0.4824611696666667,0.5756537691333333,0.42054625126666667,0.5969881311333333,0.4883466730666667,0.49278010969999997,24.941518174,25.210949344366668
34292,38735216,10,0.5141863822666667,0.5083058986000001,0.48243081826666667,0.5756280321999999,0.4206031932666667,0.5970524976999999,0.48839023846666674,0.49279448550000005,24.941357167366665,25.210968660933336
34293,38736345,10,0.5141715789666667,0.5082891742333334,0.4824046827,0.5756028250333334,0.42068414386666664,0.5971452933333334,0.48846534459999996,0.4928193740333333,24.941198593366664,25.2109900318
34294,38737474,10,0.5141655378,0.5082766408,0.4823834435666667,0.5755854529000001,0.42075462766666666,0.5972234797000001,0.48851220659999994,0.49282647343333336,24.941040925033334,25.211013765599997
34295,38738603,10,0.5141735760666667,0.5082815647333334,0.48238716636666673,0.5755918140333333,0.42078408866666667,0.5972589517333333,0.48851923519999996,0.49282461403333333,24.9408837726,25.2110350341
34296,38739732,10,0.5142271414666667,0.5083422832666666,0.4824480999333333,0.5756490523666666,0.4207739169,0.5972555737999999,0.4884949787333333,0.49281298933333334,24.940721250966668,25.211054967
34297,38740861,10,0.5142913861,0.5084109836999999,0.48251922886666665,0.5757178918,0.4207236114,0.5972145615,0.48845580096666663,0.4928075067666667,24.9405655182,25.211074488033333
34298,38741990,10,0.5143297167666666,0.5084432548666667,0.4825535220666666,0.5757569240333333,0.4206946526,0.5971969953,0.4884486491333333,0.4928151293666667,24.940413635733332,25.211092159966665
34299,38743119,10,0.5143460005,0.5084518399666667,0.48256282970000003,0.5757758408666667,0.4207149515333333,0.5972243018333334,0.48849487123333335,0.4928455227333333,24.940262262133334,25.211112195133335
34300,38744248,10,0.5143763164999999,0.5084820169666667,0.48259160360000003,0.5758113994666667,0.42078739833333334,0.5972984441666667,0.4885639716,0.49287034566666665,24.940108353666666,25.211137983266667
34301,38745377,10,0.5144176632,0.5085272451,0.4826382191,0.5758602769333333,0.42083529890000004,0.5973455959666667,0.4885903222000001,0.4928668235,24.939958192299997,25.211164078899998
34302,38746506,10,0.5144390636666667,0.5085471401666667,0.4826606712,0.5758875415333332,0.4208333608,0.5973457861,0.4885737735666666,0.4928565586333334,24.9398035708,25.211184627166666
34303,38747635,10,0.5144306713333334,0.5085387386333333,0.48266192613333336,0.5758906099666667,0.4208158916333333,0.5973399809666666,0.48856295400000005,0.4928575499666666,24.939650985,25.211206615000002
34304,38748764,10,0.5144361499666666,0.5085531511333333,0.48268233526666665,0.5759082220666666,0.4208112102666667,0.5973430232,0.4885678005666667,0.49286503223333333,24.93949678043333,25.2112250062
34305,38749893,10,0.5144353211999999,0.5085525859666666,0.48268390753333323,0.5759086495333333,0.4208274848333333,0.5973643974333334,0.48858797759999995,0.492872723,24.939339735500003,25.211243911133334
34306,38751022,10,0.5144071111666667,0.5085217743,0.48265433899999993,0.5758816917666667,0.42083981893333333,0.5973820633,0.4886023009666667,0.4928747804333333,24.939180158433334,25.2112651793
34307,38752151,10,0.5143553317666667,0.508460387,0.48259107916666666,0.5758236207666667,0.4208400772666667,0.5973833942666666,0.4885968262666666,0.4928677990666667,24.93901663906667,25.2112862417
34308,38753280,10,0.514278774,0.5083786011,0.4825066391666667,0.5757442607666667,0.4208241593666666,0.5973680638333333,0.4885870977,0.49286985386666665,24.938854129633334,25.2113031945
34309,38754409,10,0.5142187386666667,0.5083178222666667,0.48244982306666667,0.5756885697666667,0.42079175706666666,0.5973367473333333,0.4885649773333334,0.49286880743333333,24.938693033600003,25.2113169619
